iteration,a,b,c,quality
334,580555710398.0381,0.07217163825063558,-271597937404.18164,2.3594518101931103e+25
335,580555710398.0381,0.07217163837027304,-271597937404.18164,2.3594518101930678e+25
336,580555710398.0381,0.0721716381974858,-271597937404.18164,2.3594518101930106e+25
337,580555710398.0381,0.07217163798979749,-271597937404.18164,2.3594518101931047e+25
338,580555710398.0381,0.07217163802657164,-271597937404.18164,2.3594518101929943e+25
339,580555710398.0381,0.07217163823517858,-271597937404.18164,2.35945181019306e+25
340,580555710398.0381,0.07217163832080359,-271597937404.18164,2.359451810193037e+25
341,580555710398.0381,0.07217163818098403,-271597937404.18164,2.3594518101930038e+25
342,580555710398.0381,0.07217163802465215,-271597937404.18164,2.3594518101930544e+25
343,580555710398.0381,0.07217163806295515,-271597937404.18164,2.3594518101929904e+25
344,580555710398.0381,0.07217163822560414,-271597937404.18164,2.3594518101930403e+25
345,580555710398.0381,0.07217163828178429,-271597937404.18164,2.359451810193013e+25
346,580555710398.0381,0.07217163816612082,-271597937404.18164,2.3594518101930068e+25
347,580555710398.0381,0.07217163805137053,-271597937404.18164,2.359451810193028e+25
348,580555710398.0381,0.07217163809257872,-271597937404.18164,2.3594518101929913e+25
349,580555710398.0381,0.0721716382188228,-271597937404.18164,2.3594518101930197e+25
350,580555710398.0381,0.07217163825060635,-271597937404.18164,2.3594518101929995e+25
351,580555710398.0381,0.07217163815389889,-271597937404.18164,2.3594518101929978e+25
352,580555710398.0381,0.07217163807278822,-271597937404.18164,2.359451810193012e+25
